step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
549,8.863983,0.2825,0.0883,0.1745,0.0193,56.6298
552,8.831827,0.2807,0.0882,0.1729,0.0191,56.9985
555,8.872700,0.2803,0.0867,0.1741,0.0191,57.0830
558,8.862967,0.2817,0.0890,0.1730,0.0192,56.7914
561,8.864876,0.2812,0.0877,0.1739,0.0192,56.8963
564,8.872083,0.2813,0.0883,0.1732,0.0192,56.8809
567,8.865852,0.2829,0.0888,0.1745,0.0193,56.5486
570,8.875650,0.2825,0.0881,0.1747,0.0192,56.6379
573,8.856713,0.2806,0.0881,0.1728,0.0193,57.0115
576,8.869824,0.2825,0.0882,0.1745,0.0193,56.6338
579,8.878327,0.2804,0.0880,0.1727,0.0192,57.0643
582,8.862662,0.2833,0.0886,0.1752,0.0190,56.4851
585,8.846402,0.2796,0.0877,0.1722,0.0192,57.2269
588,8.867043,0.2803,0.0874,0.1732,0.0192,57.0841
591,8.875061,0.2804,0.0882,0.1726,0.0191,57.0676
594,8.856425,0.2827,0.0882,0.1748,0.0191,56.6030
597,8.856807,0.2804,0.0880,0.1728,0.0191,57.0568
600,8.857069,0.2831,0.0887,0.1744,0.0194,56.5267
603,8.848346,0.2828,0.0884,0.1748,0.0188,56.5858
606,8.858306,0.2807,0.0882,0.1730,0.0191,57.0062
609,8.874958,0.2823,0.0886,0.1739,0.0192,56.6852
612,8.857944,0.2829,0.0883,0.1749,0.0191,56.5615
615,8.859229,0.2803,0.0881,0.1727,0.0190,57.0887
618,8.863356,0.2822,0.0883,0.1742,0.0193,56.6904
621,8.845589,0.2794,0.0877,0.1721,0.0191,57.2707
624,8.872546,0.2811,0.0877,0.1738,0.0191,56.9172
627,8.850484,0.2803,0.0878,0.1728,0.0193,57.0807
630,8.853635,0.2822,0.0881,0.1744,0.0192,56.7059
633,8.875923,0.2804,0.0881,0.1726,0.0193,57.0611
636,8.855057,0.2837,0.0890,0.1747,0.0193,56.4055
639,8.850967,0.2794,0.0879,0.1720,0.0190,57.2664
642,8.853420,0.2825,0.0883,0.1745,0.0191,56.6449
645,8.860554,0.2823,0.0882,0.1745,0.0191,56.6836
648,8.861678,0.2806,0.0881,0.1728,0.0192,57.0288
651,8.854037,0.2819,0.0881,0.1742,0.0192,56.7485
