timeline_s,gpu_util_pct_mean,gpu_util_pct_std,gpu_mem_mb_mean,gpu_mem_mb_std,cpu_util_pct_mean,cpu_util_pct_std,num_samples
133.0,100.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
133.5,100.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,3
134.0,99.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
134.5,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
135.0,96.500000,2.500000,10923.250000,0.000000,0.550000,0.050000,2
135.5,95.666667,2.357023,10923.250000,0.000000,0.500000,0.000000,3
136.0,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,3
136.5,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
137.0,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,3
137.5,94.000000,0.000000,10923.250000,0.000000,0.550000,0.050000,2
138.0,94.333333,0.471405,10923.250000,0.000000,0.500000,0.000000,3
138.5,97.000000,3.000000,10923.250000,0.000000,0.500000,0.000000,2
139.0,96.333333,2.624669,10923.250000,0.000000,0.500000,0.000000,3
139.5,97.666667,2.624669,10923.250000,0.000000,0.533333,0.047140,3
140.0,97.500000,2.500000,10923.250000,0.000000,0.500000,0.000000,2
140.5,99.000000,1.414214,10923.250000,0.000000,0.500000,0.000000,3
141.0,100.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
141.5,99.500000,0.500000,10923.250000,0.000000,0.550000,0.050000,2
142.0,98.000000,2.828427,10923.250000,0.000000,0.533333,0.047140,3
142.5,97.666667,2.624669,10923.250000,0.000000,0.500000,0.000000,3
143.0,97.666667,2.624669,10923.250000,0.000000,0.500000,0.000000,3
143.5,97.000000,3.000000,10923.250000,0.000000,0.500000,0.000000,2
144.0,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
144.5,95.333333,2.624669,10923.250000,0.000000,0.500000,0.000000,3
145.0,96.500000,2.500000,10923.250000,0.000000,0.500000,0.000000,2
145.5,94.333333,0.471405,10923.250000,0.000000,0.500000,0.000000,3
146.0,95.000000,1.414214,10923.250000,0.000000,0.500000,0.000000,3
146.5,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
147.0,94.500000,0.500000,10923.250000,0.000000,0.500000,0.000000,2
147.5,97.500000,2.500000,10923.250000,0.000000,0.550000,0.050000,2
148.0,98.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
148.5,97.000000,3.000000,10923.250000,0.000000,0.500000,0.000000,2
149.0,97.666667,2.624669,10923.250000,0.000000,0.533333,0.047140,3
149.5,98.000000,2.160247,10923.250000,0.000000,0.500000,0.000000,3
150.0,99.000000,1.000000,10923.250000,0.000000,0.500000,0.000000,2
150.5,98.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
151.0,96.500000,2.500000,10923.250000,0.000000,0.500000,0.000000,2
151.5,97.666667,2.624669,10923.250000,0.000000,0.500000,0.000000,3
