timeline_s,dt_s,gpu_energy_delta_j_mean,gpu_energy_delta_j_std,inferred_energy_per_step_j,inferred_energy_per_step_j_std,num_samples
0.0,0.0,0.0,0.0,0.0,0.0,3
0.5,0.5,124.695667,6.708241,70.19418365030799,3.776229856684,3
1.0,0.5,120.487333,9.771876,67.825211441692,5.500823525424,3
1.5,0.5,131.408,0.526272,73.97271699199999,0.29625113932799996,3
2.5,1.0,179.845333,1.149724,50.619627116846004,0.32360361648799996,3
3.0,0.5,125.079333,9.990564,70.410158449692,5.623928249135999,3
4.0,1.0,186.901333,7.994991,52.605622988845994,2.250286156842,3
4.5,0.5,125.583,9.408234,70.69368469199999,5.296120716216,3
5.0,0.5,177.393,0.0,99.858777132,0.0,1
5.5,0.5,180.4445,1.3175,101.57653971799999,0.74165237,2
6.0,0.5,133.528667,1.89718,75.166491342308,1.06796815432,3
6.5,0.5,179.8065,2.1545,101.217394206,1.212819758,2
7.0,0.5,157.033,25.074,88.39764449199998,14.114756376,2
7.5,0.5,132.74,0.618,74.72253176,0.347887032,2
8.0,0.5,179.935667,1.677917,101.29010541030799,0.944539749308,3
8.5,0.5,131.434,0.339,73.987353016,0.19083123600000002,2
9.0,0.5,135.615,0.0,76.34093826,0.0,1
9.5,0.5,185.890667,10.006829,104.642317830308,5.633084207995999,3
10.0,0.5,125.320333,8.383806,70.545823133692,4.7194456087439995,3
11.0,1.0,186.555667,9.756053,52.508331145153996,2.7459581894859997,3
11.5,0.5,125.388333,9.491525,70.584101965692,5.3430072190999995,3
12.0,0.5,200.56,0.0,112.90003743999999,0.0,1
12.5,0.5,157.631,32.186518,88.73427304399999,18.118563458632,3
13.0,0.5,132.622,0.865,74.65610672800001,0.48692926,2
13.5,0.5,178.727,0.0,100.609717748,0.0,1
14.0,0.5,164.182667,21.644962,92.422363638308,12.184468588887999,3
14.5,0.5,131.43,3.755,73.98510132,2.11377962,2
15.0,0.5,179.6215,1.2305,101.113253266,0.692677982,2
15.5,0.5,157.987,22.967,88.934673988,12.928675508,2
