timeline_s,gpu_util_pct,gpu_mem_util_pct,gpu_mem_mb,cpu_util_pct,sys_mem_pct,sys_mem_mb
204.7599,91,47,6111.25,0.5,3.4,17507.40
205.3970,95,40,6111.25,0.5,3.4,17507.40
206.0288,95,40,6111.25,0.5,3.4,17507.40
206.6594,95,41,6111.25,0.5,3.4,17507.40
207.2941,95,44,6111.25,0.6,3.4,17507.40
207.9238,92,42,6111.25,0.6,3.4,17507.40
208.5569,91,47,6111.25,0.5,3.4,17507.40
209.1866,95,41,6111.25,0.5,3.4,17507.40
209.8182,95,43,6111.25,0.5,3.4,17507.40
210.4524,95,40,6111.25,0.5,3.4,17507.40
211.0856,95,43,6111.25,0.5,3.4,17507.40
211.7195,94,41,6111.25,0.5,3.4,17507.40
212.3548,91,47,6111.25,0.5,3.4,17507.40
212.9856,95,40,6111.25,0.5,3.4,17507.40
213.6171,95,43,6111.25,0.5,3.4,17507.40
214.2528,95,41,6111.25,0.5,3.4,17507.40
214.8827,95,44,6111.25,0.5,3.4,17507.40
215.5150,95,41,6111.25,0.5,3.4,17507.40
216.1471,91,47,6111.25,0.5,3.4,17507.40
216.7767,95,42,6111.25,0.5,3.4,17507.40
217.4105,95,46,6111.25,0.5,3.4,17507.40
218.0391,95,41,6111.25,0.6,3.4,17498.51
218.6738,95,43,6111.25,0.5,3.4,17498.51
219.3060,95,44,6111.25,0.5,3.4,17497.82
219.9370,91,47,6111.25,0.5,3.4,17497.82
220.5727,95,43,6111.25,0.5,3.4,17497.82
221.2127,95,44,6111.25,0.5,3.4,17497.82
221.8432,95,41,6111.25,0.5,3.4,17497.82
222.4742,95,43,6111.25,0.5,3.4,17497.82
223.1091,95,43,6111.25,0.5,3.4,17497.82
223.7365,91,48,6111.25,0.5,3.4,17497.82
224.3732,95,43,6111.25,0.5,3.4,17497.82
225.0084,95,46,6111.25,0.5,3.4,17497.82
225.6404,95,40,6111.25,0.5,3.4,17497.82
226.2729,95,43,6111.25,0.5,3.4,17497.82
226.9071,95,43,6111.25,0.5,3.4,17497.82
227.5362,91,48,6111.25,0.5,3.4,17497.82
228.1706,95,43,6111.25,0.6,3.4,17497.82
228.8013,95,48,6111.25,0.5,3.4,17497.82
229.4377,95,41,6111.25,0.5,3.4,17497.82
230.0711,95,43,6111.25,0.5,3.4,17497.82
230.7059,95,43,6111.25,0.5,3.4,17498.05
231.3350,91,48,6111.25,0.5,3.4,17498.05
231.9698,95,44,6111.25,0.5,3.4,17498.05
232.6003,95,48,6111.25,0.6,3.4,17499.03
233.2370,95,40,6111.25,0.6,3.4,17503.21
233.8688,95,43,6111.25,0.6,3.4,17510.81
234.4997,95,44,6111.25,0.5,3.4,17511.05
235.1304,92,47,6111.25,0.6,3.4,17510.99
235.7658,95,45,6111.25,0.5,3.4,17511.64
236.3976,95,41,6111.25,0.5,3.4,17511.85
237.0334,95,40,6111.25,0.5,3.4,17513.32
237.6658,95,43,6111.25,0.6,3.4,17513.29
238.2980,95,44,6111.25,0.6,3.4,17514.75
238.9296,92,46,6111.25,0.5,3.4,17515.46
239.5616,95,46,6111.25,0.6,3.4,17516.67
240.1927,95,40,6111.25,0.5,3.4,17516.18
240.8267,95,40,6111.25,0.6,3.4,17516.65
241.4605,94,41,6111.25,0.5,3.4,17516.89
242.0901,95,44,6111.25,0.6,3.4,17518.34
242.7246,92,45,6111.25,0.6,3.4,17519.00
243.3532,94,48,6111.25,0.5,3.4,17518.51
243.9868,95,40,6111.25,0.6,3.4,17519.35
244.6195,95,40,6111.25,0.6,3.4,17521.56
245.2510,95,41,6111.25,0.6,3.4,17522.05
245.8842,95,44,6111.25,0.6,3.4,17523.03
246.5143,92,43,6111.25,0.6,3.4,17523.28
247.1466,91,47,6111.25,0.6,3.4,17523.74
247.7806,95,41,6111.25,0.6,3.4,17523.22
248.4093,95,42,6111.25,0.6,3.4,17525.17
249.0441,95,40,6111.25,0.6,3.4,17525.32
249.6734,95,44,6111.25,0.6,3.4,17525.32
250.3060,94,41,6111.25,0.5,3.4,17532.17
250.9395,91,47,6111.25,0.6,3.4,17525.88
251.5715,95,41,6111.25,0.5,3.4,17525.62
252.2044,95,43,6111.25,0.6,3.4,17526.49
252.8399,95,41,6111.25,0.5,3.4,17526.00
253.4715,95,43,6111.25,0.5,3.4,17526.00
254.1038,95,41,6111.25,0.5,3.4,17525.83
254.7372,91,47,6111.25,0.6,3.4,17525.82
255.3671,95,41,6111.25,0.6,3.4,17525.82
256.0010,95,45,6111.25,0.6,3.4,17525.82
256.6297,95,40,6111.25,0.6,3.4,17525.57
257.2624,95,44,6111.25,0.6,3.4,17525.75
257.8944,95,44,6111.25,0.6,3.4,17525.75
258.5257,91,48,6111.25,0.6,3.4,17525.74
259.1598,95,44,6111.25,0.6,3.4,17525.23
259.7895,95,41,6111.25,0.6,3.4,17523.20
260.4221,95,40,6111.25,0.6,3.4,17522.49
261.0559,95,43,6111.25,0.6,3.4,17521.95
261.6822,95,44,6111.25,0.6,3.4,17520.95
262.3216,92,44,6111.25,0.6,3.4,17520.95
