step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
296,8.873977,0.2852,0.0902,0.1754,0.0191,56.1042
297,8.840045,0.2836,0.0890,0.1751,0.0191,56.4152
298,13.753961,0.2842,0.0891,0.1756,0.0191,56.3051
299,12.085164,0.2852,0.0895,0.1762,0.0191,56.1056
300,8.884609,0.2834,0.0874,0.1765,0.0192,56.4561
301,8.871630,0.2837,0.0888,0.1754,0.0191,56.3952
302,8.878295,0.2858,0.0893,0.1769,0.0191,55.9895
303,8.867379,0.2848,0.0891,0.1762,0.0191,56.1759
304,8.901247,0.2839,0.0886,0.1757,0.0193,56.3581
305,8.883596,0.2851,0.0893,0.1764,0.0191,56.1227
306,8.896412,0.2854,0.0901,0.1758,0.0191,56.0685
307,8.873100,0.2837,0.0887,0.1755,0.0192,56.3891
308,8.879364,0.2847,0.0892,0.1759,0.0189,56.2068
309,8.861169,0.2857,0.0890,0.1771,0.0192,56.0069
310,8.860878,0.2836,0.0885,0.1756,0.0192,56.4091
311,8.881380,0.2843,0.0886,0.1762,0.0191,56.2729
312,8.855585,0.2862,0.0891,0.1776,0.0191,55.9063
313,8.874839,0.2835,0.0885,0.1755,0.0192,56.4345
314,8.889062,0.2830,0.0884,0.1751,0.0191,56.5442
315,8.887420,0.2863,0.0893,0.1774,0.0192,55.8828
316,8.888423,0.2853,0.0898,0.1760,0.0191,56.0820
317,8.873727,0.2835,0.0884,0.1755,0.0193,56.4336
318,8.882926,0.2845,0.0894,0.1757,0.0190,56.2451
319,8.877582,0.2851,0.0890,0.1766,0.0192,56.1126
320,8.868383,0.2831,0.0885,0.1751,0.0192,56.5119
321,8.880478,0.2837,0.0883,0.1755,0.0195,56.3926
322,8.867388,0.2856,0.0893,0.1768,0.0191,56.0253
323,8.871211,0.2835,0.0888,0.1753,0.0191,56.4347
324,8.896418,0.2843,0.0890,0.1758,0.0191,56.2859
325,8.856469,0.2872,0.0895,0.1781,0.0193,55.7024
326,8.884115,0.2862,0.0903,0.1763,0.0192,55.9039
327,8.870103,0.2841,0.0888,0.1758,0.0192,56.3156
328,8.862233,0.2849,0.0896,0.1760,0.0190,56.1505
329,8.873363,0.2861,0.0894,0.1772,0.0191,55.9333
330,8.847307,0.2841,0.0875,0.1772,0.0191,56.3120
331,8.863969,0.2842,0.0890,0.1757,0.0191,56.2989
332,8.887340,0.2867,0.0898,0.1774,0.0191,55.8151
333,8.897157,0.2893,0.0891,0.1807,0.0192,55.3007
334,8.864982,0.2838,0.0890,0.1754,0.0191,56.3737
335,8.875801,0.2843,0.0882,0.1765,0.0192,56.2847
336,8.857841,0.2847,0.0900,0.1753,0.0190,56.1931
337,8.865513,0.2848,0.0889,0.1763,0.0192,56.1751
338,8.888766,0.2835,0.0884,0.1756,0.0192,56.4318
339,8.881259,0.2849,0.0894,0.1759,0.0192,56.1654
340,8.877278,0.2830,0.0874,0.1761,0.0192,56.5381
341,8.868710,0.2841,0.0889,0.1756,0.0191,56.3240
342,8.858838,0.2853,0.0895,0.1763,0.0191,56.0834
343,8.873133,0.2860,0.0890,0.1771,0.0194,55.9488
344,8.884554,0.2837,0.0887,0.1756,0.0191,56.3956
345,8.876620,0.2842,0.0879,0.1768,0.0192,56.2968
346,8.869005,0.2850,0.0899,0.1755,0.0193,56.1354
347,8.885173,0.2832,0.0884,0.1752,0.0192,56.4964
348,8.874929,0.2840,0.0886,0.1760,0.0191,56.3313
349,8.869161,0.2859,0.0889,0.1775,0.0191,55.9728
350,8.862276,0.2836,0.0886,0.1755,0.0191,56.4137
351,8.876744,0.2833,0.0886,0.1751,0.0193,56.4708
352,8.891981,0.2855,0.0891,0.1769,0.0189,56.0462
353,8.881617,0.2838,0.0885,0.1758,0.0190,56.3793
354,8.888786,0.2827,0.0883,0.1750,0.0191,56.5887
355,8.875550,0.2850,0.0891,0.1765,0.0191,56.1341
356,8.870337,0.2849,0.0895,0.1758,0.0192,56.1598
357,8.861732,0.2837,0.0884,0.1757,0.0191,56.3933
358,8.860228,0.2853,0.0892,0.1765,0.0193,56.0765
359,8.851722,0.2850,0.0889,0.1766,0.0191,56.1460
360,8.879922,0.2827,0.0884,0.1748,0.0191,56.5971
361,8.891602,0.2833,0.0880,0.1758,0.0191,56.4838
362,8.869191,0.2856,0.0898,0.1763,0.0192,56.0202
363,8.865211,0.2828,0.0885,0.1749,0.0191,56.5769
364,8.858758,0.2849,0.0893,0.1762,0.0190,56.1504
365,8.869771,0.2847,0.0889,0.1763,0.0191,56.1952
366,8.869091,0.2837,0.0883,0.1759,0.0191,56.3947
367,8.864307,0.2849,0.0902,0.1751,0.0192,56.1568
368,8.863329,0.2850,0.0890,0.1766,0.0191,56.1415
369,8.866791,0.2832,0.0885,0.1752,0.0191,56.4977
370,8.836859,0.2847,0.0894,0.1757,0.0192,56.1988
371,8.981629,0.2831,0.0879,0.1755,0.0191,56.5113
372,8.866973,0.2846,0.0895,0.1753,0.0193,56.2158
373,8.884053,0.2837,0.0884,0.1756,0.0193,56.4036
374,8.891478,0.2856,0.0889,0.1771,0.0193,56.0153
375,8.872309,0.2832,0.0886,0.1751,0.0192,56.4906
376,8.894650,0.2838,0.0877,0.1766,0.0191,56.3697
377,8.879646,0.2853,0.0900,0.1757,0.0192,56.0910
378,8.856553,0.2829,0.0883,0.1750,0.0192,56.5600
379,8.874156,0.2835,0.0884,0.1756,0.0192,56.4394
380,8.861352,0.2851,0.0889,0.1766,0.0192,56.1138
381,8.868257,0.2830,0.0883,0.1753,0.0190,56.5383
382,8.879417,0.2829,0.0882,0.1751,0.0192,56.5638
383,8.881501,0.2870,0.0900,0.1773,0.0192,55.7576
384,8.881033,0.2832,0.0884,0.1753,0.0191,56.5050
385,8.893570,0.2836,0.0883,0.1756,0.0193,56.4265
386,8.880250,0.2850,0.0891,0.1764,0.0192,56.1376
387,8.860044,0.2844,0.0889,0.1760,0.0191,56.2669
388,8.869666,0.2837,0.0884,0.1757,0.0191,56.3973
389,8.875076,0.2859,0.0890,0.1774,0.0191,55.9586
390,8.874417,0.2829,0.0885,0.1750,0.0191,56.5520
391,8.871178,0.2835,0.0883,0.1757,0.0191,56.4401
392,8.874769,0.2829,0.0875,0.1758,0.0192,56.5637
393,8.846940,0.2845,0.0899,0.1750,0.0192,56.2401
394,8.855990,0.2836,0.0884,0.1755,0.0193,56.4231
395,8.875981,0.2890,0.0887,0.1806,0.0193,55.3719
396,8.890422,0.2846,0.0888,0.1762,0.0193,56.2249
397,8.872752,0.2836,0.0883,0.1758,0.0191,56.4262
398,8.894831,0.2844,0.0900,0.1750,0.0191,56.2513
399,8.883987,0.2847,0.0886,0.1765,0.0193,56.1975
400,8.879387,0.2830,0.0882,0.1752,0.0191,56.5377
401,8.867665,0.2842,0.0891,0.1756,0.0191,56.2899
402,8.857433,0.2828,0.0871,0.1761,0.0192,56.5814
403,8.853859,0.2833,0.0885,0.1753,0.0191,56.4795
404,8.889662,0.2850,0.0891,0.1765,0.0191,56.1352
405,8.876613,0.2841,0.0887,0.1758,0.0193,56.3102
406,8.861422,0.2829,0.0883,0.1752,0.0191,56.5498
407,8.876673,0.2845,0.0888,0.1762,0.0192,56.2313
408,8.856647,0.2846,0.0892,0.1759,0.0191,56.2241
409,8.873428,0.2830,0.0882,0.1752,0.0192,56.5408
410,8.869603,0.2849,0.0889,0.1764,0.0192,56.1576
411,8.874702,0.2835,0.0885,0.1755,0.0191,56.4442
